Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00107,59,125228,8271,565,48,No
CUST00108,61,46054,50482,651,24,No
CUST00109,48,31233,5209,594,60,No
CUST00110,27,174140,95999,712,24,No
CUST00111,29,83727,10539,746,60,No
CUST00112,28,108610,24977,693,24,No
CUST00113,32,88453,79142,680,48,No
CUST00114,54,122135,73684,657,36,Yes
CUST00115,53,174904,10607,754,48,No
CUST00116,43,126464,90122,543,12,Yes
CUST00117,44,31682,99786,590,36,Yes
CUST00118,57,172455,56939,817,24,No
CUST00119,55,76160,23594,586,36,Yes
CUST00120,64,41666,63382,720,24,Yes
CUST00121,60,76817,12399,735,36,Yes
CUST00122,42,109198,30117,536,24,Yes
CUST00123,47,59830,38617,550,24,Yes
CUST00124,55,28234,12498,775,48,No
CUST00125,21,75616,55624,607,72,Yes
CUST00126,55,27221,14628,609,36,No
CUST00127,57,160482,5329,641,48,No
CUST00128,34,19051,43619,607,48,No
CUST00129,23,128529,12032,719,36,No
CUST00130,21,94918,53094,591,12,Yes
CUST00131,25,96116,43034,533,24,No
CUST00132,46,140226,91158,767,60,No
CUST00133,34,62757,60264,595,36,No
CUST00134,59,139008,99120,624,48,Yes
CUST00135,47,149379,52850,742,36,No
CUST00136,29,74889,9722,685,36,No
CUST00137,35,53944,22772,763,36,No
CUST00138,35,117555,91105,743,48,No
CUST00139,46,56134,46679,646,24,No
CUST00140,62,176395,73771,757,36,No
CUST00141,33,43954,9576,693,36,No
CUST00142,52,107959,31707,635,72,No
CUST00143,59,22992,46632,702,36,Yes
CUST00144,52,19961,46476,582,48,No
CUST00145,24,30497,35285,743,24,Yes
CUST00146,50,31255,29154,733,12,No
CUST00147,57,153639,25054,689,60,No
CUST00148,43,66847,22165,536,60,No
CUST00149,59,38389,19439,767,36,No
CUST00150,65,141802,49518,713,36,No
CUST00151,35,79576,93051,678,24,No
CUST00152,63,61919,31962,666,48,No
CUST00153,49,21358,58934,640,12,No
CUST00154,56,106535,42763,654,60,No
CUST00155,33,123982,69094,738,48,No
CUST00156,52,23698,24464,641,36,No
CUST00157,27,84809,47036,659,60,No
CUST00158,42,111079,38270,670,72,No
CUST00159,48,73805,47299,672,36,No
CUST00160,22,93033,90805,634,60,Yes
CUST00161,62,116239,36541,667,60,Yes
CUST00162,65,148407,78545,706,60,No
CUST00163,26,62041,87543,612,72,Yes
CUST00164,48,49954,96998,668,36,No
CUST00165,48,26002,82078,825,48,No
CUST00166,64,87783,87970,675,60,No
CUST00167,64,125524,34765,610,36,No
CUST00168,40,142857,28769,601,36,No
CUST00169,50,37738,93001,585,36,Yes
CUST00170,31,28703,92404,802,60,No
CUST00171,48,131776,25156,756,48,No
CUST00172,45,161464,90836,583,36,No
CUST00173,59,62724,55481,696,36,Yes
CUST00174,53,50299,18435,772,12,No
CUST00175,21,33641,74650,677,12,Yes
CUST00176,47,97534,51336,643,36,No
CUST00177,33,24305,41135,848,36,No
CUST00178,61,36782,78631,537,60,Yes
CUST00179,23,96257,42909,850,48,No
CUST00180,59,95963,74487,684,60,No
CUST00181,26,139987,26468,777,24,No
CUST00182,28,169638,97609,590,72,Yes
CUST00183,47,142591,52655,626,36,Yes
CUST00184,29,85766,39341,599,48,No
CUST00185,57,24511,69182,672,36,Yes
CUST00186,53,132816,56786,703,36,No
CUST00187,62,175249,73304,760,24,No
CUST00188,64,22765,51514,552,24,Yes
CUST00189,44,169426,38979,692,48,No
CUST00190,35,41929,95887,747,36,No
CUST00191,52,177892,85981,761,72,No
CUST00192,52,129576,60107,647,36,No
CUST00193,44,178595,6160,648,72,Yes
CUST00194,61,89088,92897,673,24,No
CUST00195,32,95525,77577,694,24,Yes
CUST00196,59,31780,89303,778,36,No
CUST00197,22,24589,15846,589,60,No
CUST00198,23,111664,24924,621,36,No
CUST00199,57,122188,18882,580,24,No
CUST00200,37,111326,85274,712,24,No
CUST00201,22,58953,91555,763,36,No
CUST00202,22,83785,6095,573,48,No
CUST00203,48,37309,45983,687,36,No
CUST00204,43,72195,19123,757,60,Yes
CUST00205,57,43901,98668,739,48,No
CUST00206,52,172648,71615,738,60,Yes
CUST00207,53,43464,50278,591,36,No
CUST00208,21,34260,95290,738,36,No
CUST00209,39,142997,56999,666,72,No
CUST00210,22,53440,36153,760,36,No
CUST00211,64,113082,23344,714,36,No
CUST00212,46,123583,42656,619,60,No
CUST00213,52,74683,75515,701,24,No
CUST00214,26,142206,6212,741,36,No
CUST00215,52,151059,14001,642,24,No
CUST00216,24,174177,83784,690,24,No
CUST00217,31,96484,86144,580,12,Yes
CUST00218,37,162098,41427,721,12,No
CUST00219,58,86309,36368,676,36,No
CUST00220,44,63927,75819,749,60,Yes
CUST00221,25,60946,66160,719,48,No
CUST00222,54,144503,30854,649,48,No
CUST00223,26,159449,15715,617,36,No
CUST00224,42,71592,86701,599,60,No
CUST00225,31,156419,63784,642,60,Yes
CUST00226,36,51776,31797,747,60,No
CUST00227,53,152855,52573,548,60,No
CUST00228,29,73798,81120,602,24,No
CUST00229,26,153370,19780,744,48,No
CUST00230,36,88204,42905,780,48,No
CUST00231,49,104207,26573,606,36,No
CUST00232,23,118356,38359,601,36,No
CUST00233,40,78652,71062,786,24,No
CUST00234,56,147572,78391,671,24,No
CUST00235,39,38922,48463,613,60,Yes
CUST00236,46,169388,21571,758,48,No
CUST00237,23,94996,24142,718,36,No
CUST00238,39,166040,30104,735,36,No
CUST00239,40,48266,13625,617,48,No
CUST00240,52,173072,44199,708,36,No
CUST00241,27,163083,20926,773,36,No
CUST00242,61,20866,36218,728,12,No
CUST00243,53,130669,49472,749,24,No
CUST00244,60,23898,96916,785,36,Yes
CUST00245,59,36395,25566,712,48,No
CUST00246,38,22006,61125,638,12,No
CUST00247,60,28956,38205,746,36,No
CUST00248,21,155150,34717,597,48,Yes
CUST00249,31,178703,54984,663,60,No
CUST00250,48,113676,30135,724,24,No
CUST00251,45,139724,33164,439,60,Yes
CUST00252,43,80901,79489,699,72,Yes
CUST00253,51,125227,43562,702,60,No
CUST00254,50,135192,74110,595,60,No
CUST00255,62,49417,25169,704,48,No
CUST00256,55,106020,64858,694,36,No
CUST00257,27,101639,26604,683,48,No
CUST00258,36,112881,94670,769,48,No
CUST00259,46,150659,93738,746,36,No
CUST00260,22,139688,5684,728,36,No
CUST00261,21,133584,13007,603,48,No
CUST00262,32,104567,46787,679,72,No
CUST00263,25,93886,54582,769,36,No
CUST00264,57,167888,79791,664,36,No
CUST00265,52,47432,88629,797,48,No
CUST00266,29,90373,10782,730,24,No
CUST00267,61,38884,71770,808,48,No
CUST00268,55,23454,62645,600,24,Yes
CUST00269,39,92960,36996,668,36,No
CUST00270,36,120421,34204,675,48,No
CUST00271,23,61618,22152,725,12,No
CUST00272,40,65111,60186,625,24,No
CUST00273,44,138592,95555,559,36,Yes
CUST00274,53,77993,90024,708,36,Yes
CUST00275,44,146652,24689,653,48,No
CUST00276,31,157920,55690,645,36,No
CUST00277,28,96672,99042,628,36,No
CUST00278,56,84125,88251,689,36,No
CUST00279,58,135509,62320,599,12,No
CUST00280,60,79602,69226,665,60,No
CUST00281,40,60222,61091,618,12,No
CUST00282,55,67223,84301,634,60,No
CUST00283,45,83333,26942,707,48,No
CUST00284,55,140650,43712,729,36,No
CUST00285,45,67420,70277,657,48,No
CUST00286,49,93504,54632,753,60,No
CUST00287,38,20462,43031,607,60,Yes
CUST00288,38,27460,25478,566,48,Yes
CUST00289,22,117319,27551,580,24,No
CUST00290,55,158347,53068,599,60,No
CUST00291,36,162341,98608,582,12,No
CUST00292,61,147593,40561,832,60,No
CUST00293,56,140672,7892,564,48,No
CUST00294,53,90920,29395,750,60,No
CUST00295,24,40553,23756,678,60,No
CUST00296,53,173438,92710,697,12,No
CUST00297,34,62036,39651,612,48,No
CUST00298,41,166441,71333,704,24,No
CUST00299,40,160867,78745,611,12,Yes
CUST00300,28,88021,54306,749,36,No
CUST00301,27,125205,26346,755,24,No
CUST00302,23,179215,33024,670,48,No
CUST00303,37,178497,99950,675,72,No
CUST00304,53,106209,45818,712,48,No
CUST00305,32,93139,10947,709,36,No
CUST00306,42,23368,80153,757,60,No
CUST00307,42,153693,91240,755,60,No
CUST00308,50,76829,99238,678,60,Yes
CUST00309,58,147036,72428,644,48,Yes
CUST00310,58,32719,34754,741,60,No
CUST00311,65,47227,68355,668,24,No
CUST00312,28,127430,63241,689,60,Yes
CUST00313,47,156638,73960,720,60,Yes
CUST00314,47,30306,18418,753,60,No
CUST00315,54,71822,93593,700,36,No
CUST00316,41,42042,60184,636,60,No
CUST00317,50,164158,9833,815,36,No
CUST00318,53,166459,80430,795,48,No
CUST00319,48,176114,46833,604,60,No
CUST00320,53,107424,5565,612,12,No
CUST00321,25,167395,45180,621,36,Yes
CUST00322,39,36019,23402,744,60,No
CUST00323,24,93426,47845,818,60,No
CUST00324,55,58863,80851,642,60,Yes
CUST00325,37,129023,17834,693,24,No
CUST00326,64,159355,72850,624,48,No
CUST00327,48,167351,42180,808,24,No
CUST00328,50,64999,8883,742,60,Yes
CUST00329,49,80780,80587,618,36,Yes
CUST00330,26,40908,16695,522,60,No
CUST00331,55,144278,28123,758,36,No
CUST00332,61,131002,63481,637,72,Yes
CUST00333,57,118706,78438,743,48,Yes
CUST00334,44,140019,22573,702,48,No
CUST00335,49,127708,99910,542,36,No
CUST00336,51,27343,61494,619,60,No
CUST00337,55,94173,17288,653,36,No
CUST00338,53,118260,51978,629,12,No
CUST00339,41,178206,77420,689,48,No
CUST00340,52,87443,81095,710,60,No
CUST00341,43,75530,59672,814,36,No
CUST00342,53,153899,66821,715,24,No
CUST00343,23,114143,88661,792,48,No
CUST00344,38,162771,74224,644,60,No
CUST00345,45,132527,94405,767,36,No
CUST00346,62,154385,59796,651,60,Yes
CUST00347,51,162670,49706,611,60,Yes
CUST00348,23,129362,9023,608,24,No
CUST00349,60,46807,87636,482,36,Yes
CUST00350,44,77550,41735,744,48,No
CUST00351,52,21558,77959,583,72,Yes
CUST00352,42,68113,44218,786,48,No
CUST00353,43,70999,17213,667,36,No
CUST00354,22,76219,33460,563,24,Yes
CUST00355,47,71218,69680,596,36,Yes
CUST00356,62,37229,36017,694,48,No
CUST00357,22,93209,97038,539,36,Yes
CUST00358,46,45877,35990,724,36,No
CUST00359,37,115137,24515,566,24,Yes
CUST00360,60,56084,34991,625,36,No
CUST00361,53,99780,12634,695,24,No
CUST00362,29,165878,82034,715,12,Yes
CUST00363,63,55034,81452,740,60,No
CUST00364,59,73468,34377,582,24,Yes
CUST00365,49,168166,38001,657,48,No
CUST00366,62,28589,6391,762,24,No
CUST00367,46,75221,70206,657,36,No
CUST00368,55,19657,47215,702,36,No
CUST00369,45,116300,84720,692,24,No
CUST00370,44,135229,32114,778,12,No
CUST00371,33,57531,16882,645,60,No
CUST00372,27,70227,22273,576,12,No
CUST00373,56,21164,50647,607,12,No
CUST00374,65,111078,87665,694,60,No
CUST00375,40,59247,69892,562,36,No
CUST00376,21,168673,47679,639,48,No
CUST00377,28,68599,5427,686,24,No
CUST00378,36,153624,71267,623,36,No
CUST00379,34,158489,5799,705,48,No
CUST00380,32,86207,60659,734,72,No
CUST00381,43,90055,99409,714,12,Yes
CUST00382,35,120266,12025,564,36,No
CUST00383,48,96270,19481,686,12,No
CUST00384,54,129426,30411,692,24,No
CUST00385,22,152794,19961,651,60,No
CUST00386,52,88442,26767,703,24,No
CUST00387,43,113632,56690,701,60,Yes
CUST00388,42,39438,57870,673,24,No
CUST00389,45,76819,41135,605,60,No
CUST00390,42,61856,69514,678,48,No
CUST00391,42,59938,91928,820,60,Yes
CUST00392,62,77807,83798,651,24,No
CUST00393,26,67877,75765,759,60,No
CUST00394,35,61461,28772,683,48,Yes
CUST00395,63,111474,23799,620,48,No
CUST00396,57,101136,28555,658,60,No
CUST00397,53,38435,97152,679,48,No
CUST00398,28,163263,24333,729,60,Yes
CUST00399,64,102726,9261,850,36,No
CUST00400,64,176458,74002,684,48,No
CUST00401,25,72786,51553,588,60,Yes
CUST00402,59,31704,8088,556,24,No
CUST00403,24,74635,50783,648,36,No
CUST00404,26,151195,6115,595,72,No
CUST00405,65,108710,75114,722,36,No
CUST00406,52,80993,73126,722,36,No
CUST00407,50,130752,77908,669,36,No
CUST00408,55,174488,74109,729,60,No
CUST00409,60,150886,7978,685,72,No
CUST00410,36,96537,14422,820,72,No
CUST00411,33,68258,48626,727,48,No
CUST00412,62,165580,94233,747,36,No
CUST00413,50,103166,61174,571,24,No
CUST00414,39,131710,42743,592,24,No
CUST00415,37,53699,75461,716,12,No
CUST00416,39,64335,62199,564,12,No
CUST00417,48,64806,34430,633,60,Yes
CUST00418,46,95853,33834,768,60,No
CUST00419,57,53739,29435,632,48,No
CUST00420,46,52785,92212,589,72,No
CUST00421,43,103016,60797,730,72,Yes
CUST00422,29,150681,48554,836,48,No
CUST00423,32,84253,59555,619,36,No
CUST00424,21,109128,90350,772,24,Yes
CUST00425,21,177213,19716,610,36,No
CUST00426,54,179081,65261,672,24,No
CUST00427,52,145581,32528,675,36,No
CUST00428,45,128966,6995,621,60,No
CUST00429,60,155854,27414,746,36,No
CUST00430,65,117352,18844,565,24,No
CUST00431,21,175005,41659,695,48,No
CUST00432,36,95154,20522,761,48,No
CUST00433,59,157379,79034,739,24,Yes
CUST00434,25,126297,47322,717,24,No
CUST00435,42,56346,72638,799,72,No
CUST00436,49,130138,13524,664,36,No
CUST00437,23,68772,35846,566,60,No
CUST00438,32,58149,78643,690,36,Yes
CUST00439,46,104700,65096,671,36,No
CUST00440,36,176598,88804,521,36,Yes
CUST00441,57,114758,52703,596,60,No
CUST00442,42,146447,29399,586,60,No
CUST00443,49,23695,80160,619,36,No
CUST00444,34,57169,97662,654,24,Yes
CUST00445,48,65947,93667,657,24,No
CUST00446,25,63865,53591,622,60,No
CUST00447,50,174625,25714,586,36,No
CUST00448,25,122501,40877,708,24,No
CUST00449,32,78410,89106,689,36,Yes
CUST00450,36,121754,83018,691,36,No
CUST00451,46,108895,64136,813,60,No
CUST00452,46,173888,38414,692,48,No
CUST00453,41,68705,91576,653,24,Yes
CUST00454,59,133700,83943,672,24,No
CUST00455,56,91914,50468,687,36,No
CUST00456,53,19881,84702,726,12,No
CUST00457,50,65365,77108,677,60,No
CUST00458,57,97211,97508,534,36,Yes
CUST00459,43,174078,51835,647,36,No
CUST00460,30,59198,68333,680,36,No
CUST00461,25,171903,47464,778,48,No
CUST00462,56,118649,27923,621,48,No
CUST00463,54,165531,66855,557,60,No
CUST00464,51,154949,72445,685,48,No
CUST00465,30,57553,72619,745,60,No
CUST00466,39,153994,51146,650,48,No
CUST00467,52,140778,65032,850,24,No
CUST00468,21,135018,22140,841,12,No
CUST00469,25,153758,7670,675,60,Yes
CUST00470,65,50766,41519,694,60,No
CUST00471,24,50006,49512,783,48,Yes
CUST00472,36,49422,62811,673,48,Yes
CUST00473,44,134590,19691,620,36,No
CUST00474,36,30205,39262,747,48,No
CUST00475,22,172599,59892,715,72,No
CUST00476,48,167515,30595,619,60,No
CUST00477,52,165596,62207,701,36,No
CUST00478,47,134477,38440,668,36,No
CUST00479,40,46202,13630,651,36,No
CUST00480,44,79692,36250,621,36,No
CUST00481,32,38855,99334,689,36,Yes
CUST00482,55,43095,82518,660,48,No
CUST00483,53,67241,79191,701,12,No
CUST00484,53,121119,69791,741,60,No
CUST00485,63,70003,89118,697,60,Yes
CUST00486,57,112837,68753,699,60,No
CUST00487,32,112283,65520,639,60,No
CUST00488,23,165044,9008,768,48,No
CUST00489,21,141805,49464,616,60,No
CUST00490,53,111846,5496,559,36,No
CUST00491,60,40927,28212,600,72,No
CUST00492,30,138589,25637,758,24,No
CUST00493,63,133657,50227,714,60,No
CUST00494,64,84630,87413,778,36,No
CUST00495,49,122428,88346,581,24,No
CUST00496,33,140035,14884,850,36,No
CUST00497,32,144244,73259,659,48,Yes
CUST00498,51,87518,54810,548,36,No
CUST00499,22,99326,9761,845,48,No
CUST00500,55,161277,78166,582,60,Yes
CUST00501,43,138243,21375,650,36,No
CUST00502,37,30748,30218,665,48,No
CUST00503,46,170169,35565,713,36,No
CUST00504,28,152164,37975,621,36,No
CUST00505,49,71311,32073,758,48,No
CUST00506,46,40692,74726,737,36,No
CUST00507,30,142954,6883,681,72,No
CUST00508,46,172934,73422,779,48,No
CUST00509,54,148035,54629,675,60,No
CUST00510,61,97507,69170,659,48,No
CUST00511,27,98152,79489,830,60,No
CUST00512,24,22926,13381,702,24,No
CUST00513,65,21969,28238,606,24,No
CUST00514,31,53733,18795,616,36,No
CUST00515,49,87855,67999,681,60,Yes
CUST00516,56,59743,54907,500,24,No
CUST00517,45,148193,14638,633,72,No
CUST00518,41,125445,75467,672,24,Yes
CUST00519,56,38323,47623,667,24,Yes
CUST00520,30,34428,43492,586,24,No
CUST00521,57,52578,31411,646,48,No
CUST00522,29,104486,25534,768,60,No
CUST00523,44,82140,34181,753,36,Yes
CUST00524,55,125325,24996,687,48,Yes
CUST00525,55,101829,77089,675,24,No
CUST00526,56,24364,88609,668,48,Yes
CUST00527,38,146867,77666,698,24,No
CUST00528,59,149763,34405,688,36,No
CUST00529,52,113598,76325,704,48,No
CUST00530,44,75062,33930,718,48,No
CUST00531,43,162933,22529,589,24,No
CUST00532,52,106302,58546,657,24,No
CUST00533,57,81928,12942,695,48,Yes
CUST00534,32,59347,12548,608,60,No
CUST00535,33,21121,23296,629,60,Yes
CUST00536,43,101793,56016,664,60,Yes
CUST00537,45,46164,5296,667,72,No
CUST00538,55,43491,72945,696,36,No
CUST00539,61,77222,64980,616,36,No
CUST00540,50,172237,61782,753,12,No
CUST00541,37,21748,39229,667,36,No
CUST00542,40,44553,58444,691,48,Yes
CUST00543,45,134547,40036,652,60,No
CUST00544,42,78380,44322,698,36,No
CUST00545,33,62331,32167,805,36,Yes
CUST00546,39,138617,56667,652,48,No
CUST00547,56,57560,99527,639,48,Yes
CUST00548,32,71865,88337,618,36,No
CUST00549,61,93910,56468,676,60,No
CUST00550,39,153747,77894,675,24,No
CUST00551,32,95986,58084,684,60,Yes
CUST00552,29,28068,68138,715,72,No
CUST00553,27,72460,27588,706,36,No
CUST00554,48,118766,67901,678,36,Yes
CUST00555,34,64418,22671,827,60,No
CUST00556,51,44206,88038,732,36,Yes
CUST00557,39,146180,95664,598,12,Yes
CUST00558,36,18287,36645,564,60,Yes
CUST00559,25,40337,12637,628,36,No
CUST00560,55,169738,5660,691,24,No
CUST00561,32,150233,11922,622,48,No
CUST00562,45,118667,98697,633,24,Yes
CUST00563,41,108071,49721,682,24,Yes
CUST00564,56,116064,62256,654,48,Yes
CUST00565,43,124511,74506,526,36,No
CUST00566,36,163830,73943,761,48,No
CUST00567,59,21178,32843,743,72,Yes
CUST00568,65,49831,14046,584,60,No
CUST00569,62,151248,94336,684,12,No
CUST00570,59,121306,68985,596,12,Yes
CUST00571,34,175699,85083,634,48,No
CUST00572,51,130025,35346,716,48,Yes
CUST00573,25,108417,93284,741,60,No
CUST00574,55,29984,96384,739,48,Yes
CUST00575,43,107312,58526,698,24,Yes
CUST00576,49,101291,78143,776,36,Yes
CUST00577,63,25135,41787,634,60,Yes
CUST00578,31,18320,38583,651,60,No
CUST00579,38,170756,17563,485,36,No
CUST00580,32,106774,51060,673,48,Yes
CUST00581,29,170961,38690,723,24,No
CUST00582,30,116071,99712,701,36,No
CUST00583,64,159842,19925,633,24,Yes
CUST00584,37,127863,91787,743,60,Yes
CUST00585,58,59777,88184,674,48,Yes
CUST00586,27,64250,25108,737,60,No
CUST00587,33,91034,81515,716,72,Yes
CUST00588,60,122940,73258,787,24,Yes
CUST00589,62,58130,10355,705,48,No
CUST00590,29,151609,51069,726,60,No
CUST00591,47,33216,99335,674,48,No
CUST00592,22,102149,59471,642,48,No
CUST00593,25,21009,37705,717,36,No
CUST00594,49,107904,48909,793,48,No
CUST00595,57,178399,93606,634,36,No
CUST00596,58,163281,58739,661,36,No
CUST00597,39,33029,81820,682,24,No
CUST00598,28,120171,92273,731,12,Yes
CUST00599,65,132456,28241,706,12,No
CUST00600,21,80559,32414,748,24,No
CUST00601,42,82892,55818,828,36,Yes
CUST00602,37,88409,25895,632,12,No
CUST00603,27,157707,97307,726,24,No
CUST00604,45,51065,67409,704,60,No
CUST00605,65,138544,60324,681,60,No
CUST00606,24,125340,71920,725,60,Yes
CUST00607,56,51783,58555,660,60,Yes
CUST00608,26,52152,70453,704,24,No
CUST00609,51,76741,27689,582,24,No
CUST00610,39,125049,69356,640,36,No
CUST00611,64,47092,98011,759,60,Yes
CUST00612,59,166725,13252,756,60,No
CUST00613,47,104483,35844,699,36,Yes
CUST00614,30,139585,28365,646,24,No
CUST00615,46,77754,11026,742,48,No
CUST00616,39,179050,33523,773,36,No
CUST00617,59,105592,15482,649,48,No
CUST00618,23,112543,53888,571,60,No
CUST00619,65,61169,55110,714,48,No
CUST00620,33,72745,95644,749,60,No
CUST00621,48,128168,5493,724,36,Yes
CUST00622,40,131985,61194,797,48,Yes
CUST00623,48,23543,87001,798,60,No
CUST00624,28,39067,44767,657,48,No
CUST00625,61,69033,34550,695,48,No
CUST00626,59,63256,18833,643,48,No
CUST00627,21,171263,7970,603,60,No
CUST00628,23,104803,87681,608,24,Yes
CUST00629,33,136843,54177,734,36,No
CUST00630,48,46992,72342,703,36,No
CUST00631,45,66803,76200,747,60,No
CUST00632,53,127975,66501,850,72,No
CUST00633,58,162282,33900,717,24,No
CUST00634,26,44270,19126,621,24,No
CUST00635,64,154269,75690,758,60,No
CUST00636,65,25452,92744,620,36,Yes
CUST00637,52,59486,84303,811,36,No
CUST00638,65,32859,90579,532,12,No
CUST00639,41,176308,52994,639,36,No
CUST00640,36,50083,72061,727,48,Yes
CUST00641,41,85708,21978,768,36,No
CUST00642,31,129462,61344,629,36,No
CUST00643,57,165735,51648,616,60,Yes
CUST00644,56,111076,6055,691,24,No
CUST00645,55,37053,80582,823,12,No
CUST00646,39,160157,86214,565,60,No
CUST00647,40,179636,49876,656,60,Yes
CUST00648,38,107745,97160,700,36,Yes
CUST00649,61,87517,43725,620,36,No
CUST00650,34,170225,10255,620,36,No
CUST00651,35,154319,79947,662,48,No
CUST00652,51,159625,58380,702,12,No
CUST00653,21,169883,58333,665,36,Yes
CUST00654,23,155207,47459,790,24,No
CUST00655,36,154645,41163,724,60,No
CUST00656,43,97267,38971,709,36,No
CUST00657,31,156261,70149,757,36,No
CUST00658,32,98077,89730,710,12,No
CUST00659,30,94623,24476,647,12,No
CUST00660,52,149004,73580,660,48,No
CUST00661,36,71687,91593,595,60,No
CUST00662,28,86312,74050,830,48,No
CUST00663,58,125615,80526,750,60,No
CUST00664,32,148976,12507,488,24,No
CUST00665,44,45564,75393,780,48,No
CUST00666,48,46835,17118,570,24,No
CUST00667,28,25697,55529,719,24,No
CUST00668,48,98165,73682,515,60,Yes
CUST00669,56,166118,96937,648,60,Yes
CUST00670,46,75823,59176,781,48,No
CUST00671,28,27615,96713,785,60,No
CUST00672,48,154132,9414,703,72,No
CUST00673,48,148499,88030,739,24,No
CUST00674,57,94436,90973,574,72,Yes
CUST00675,61,138562,67137,720,48,No
CUST00676,56,89117,8937,744,60,No
CUST00677,47,52782,41731,850,48,No
CUST00678,37,96533,91862,633,48,No
CUST00679,29,90684,43665,681,48,No
